hidden_dim,learning_rate,batch_size,best_val_accuracy,best_val_loss,final_val_accuracy,final_val_loss
64,0.1,32,0.4960607498813479,1.4968170169628028,0.4530612244897959,1.6314854723034482
64,0.1,64,0.5939250118652112,0.9975018187002702,0.4314190792596108,1.583374260411118
64,0.1,128,0.55453251067869,1.126525503325175,0.45790223065970576,1.4972495630563023
64,0.01,32,0.7490270526815377,0.644027783834573,0.7397247271001424,0.7228455594994805
64,0.01,64,0.7530137636449928,0.6352217918092554,0.7116279069767442,0.7725061705618194
64,0.01,128,0.7674418604651163,0.6015680924237493,0.7369719981015662,0.8506160030163914
64,0.001,32,0.7717133364973896,0.5897136697714979,0.7580446131941149,0.763520542419318
64,0.001,64,0.7764594209776934,0.5753220155383602,0.7652586616041765,0.6839803249546976
64,0.001,128,0.7818699572852397,0.5674336549029293,0.7775035595633603,0.6023471947894039
128,0.1,32,0.5516848599905079,1.3344931927594272,0.07432368296155671,
128,0.1,64,0.5597532036070242,1.1740627122647835,0.40740389178927383,1.6354914513501253
128,0.1,128,0.6294257237778832,0.9339245766042227,0.45771238728049357,1.4111466221062534
128,0.01,32,0.7539629805410536,0.6334886792031201,0.4948267679164689,1.3399006729776208
128,0.01,64,0.7614617940199335,0.6163032831567706,0.5268153773137162,1.262762473930012
128,0.01,128,0.7642145230185098,0.6084481100720095,0.5356430944470811,1.2413802549063442
128,0.001,32,0.7813953488372093,0.5691367789651408,0.7624110109159943,1.0680035599253395
128,0.001,64,0.7831039392501187,0.5655337286717964,0.7673469387755102,0.9357677127375748
128,0.001,128,0.7793070716658757,0.5635668649730912,0.7622211675367822,0.7607946158891701
256,0.1,32,0.489890840056953,1.6276285256400254,0.07432368296155671,
256,0.1,64,0.6311343141907926,1.017100449403127,0.44670147128618887,1.8980185667673746
256,0.1,128,0.5162790697674419,1.5766443401934154,0.47109634551495017,1.5766443401934154
256,0.01,32,0.7524442335073565,0.6376024386196425,0.49017560512577124,1.3858442015720136
256,0.01,64,0.7575700047460845,0.6132402546478041,0.5262458471760797,1.2459254680257854
256,0.01,128,0.7662078785002373,0.6032414720000991,0.7393450403417181,0.8655941493539925
256,0.001,32,0.7821547223540579,0.5600899035280401,0.7571903179876602,1.3257697241324367
256,0.001,64,0.775984812529663,0.5626643300056458,0.7579496915045087,1.2957393928007646
256,0.001,128,0.778452776459421,0.5783254622694958,0.758234456573327,1.0633684849164573
