num_layers,dropout,max_val_acc,final_val_acc,min_val_loss,final_val_loss
1,False,0.7745609871855719,0.7741813004271476,0.5884903374924717,0.6139081978654287
1,True,0.7745609871855719,0.7741813004271476,0.5884903374924717,0.6139081978654287
2,False,0.7763644992880874,0.76953013763645,0.5740495679608311,0.6176198218242231
2,True,0.7798766018035121,0.7777883246321785,0.5823946713683117,0.5876523726675884
3,False,0.7808258186995729,0.7789273849074514,0.5752508715692773,0.6306073985185968
3,True,0.7798766018035121,0.7798766018035121,0.57994192766856,0.5999821496297078
4,False,0.7804461319411485,0.7689606074988135,0.5726675682039146,0.6082339135997267
4,True,0.7820598006644518,0.7789273849074514,0.5661754381943898,0.5835168300622917
5,False,0.7596582819174181,0.7596582819174181,0.6190107500696757,0.6190107500696757
5,True,0.7680113906027527,0.7680113906027527,0.590072114065469,0.590072114065469
